dataset1,dataset2,k,operation,indexing time 1(s),indexing time 2(s),merge time(s),normalization time(s),set 1 query memory(kB),set 2 query memory(kB),merge query memory(kB),normalization query memory(kB),ms 1 length,ms 2 length,result ms length,ms 1 runs,ms 2 runs,result ms runs,ms 1 ones,ms 2 ones,result ms ones,kmers1,kmers2,kmersRes
C.briggsae.fna,C.elegans.fna,15,union,53.77,52.35,307.05,599.58,28744,27952,53064,46952,71539334,69945143,121919367,4258419,4138328,8246983,61699522,60599542,103754059,61699522,60599542,103754059
C.briggsae.fna,C.elegans.fna,15,difference,53.7,52.52,308.33,583.18,28744,27952,53064,45416,71539334,69945143,110790090,4258419,4138328,12767725,61699522,60599542,85209054,61699522,60599542,85209054
C.briggsae.fna,C.elegans.fna,15,intersection,53.78,52.62,307.42,382.1,28744,27952,53064,15896,71539334,69945143,31517317,4258419,4138328,5463455,61699522,60599542,18545005,61699522,60599542,18545005
C.briggsae.fna,C.elegans.fna,17,union,67.7,67.34,386.78,953.58,31792,31528,59292,59156,88241225,87830025,171061640,2246932,2291690,5675895,81922521,81674345,156110809,81922521,81674345,156110809
C.briggsae.fna,C.elegans.fna,17,difference,66.74,66.11,385.44,922.09,31792,31528,59292,60088,88241225,87830025,168459668,2246932,2291690,8236424,81922521,81674345,148624752,81922521,81674345,148624752
C.briggsae.fna,C.elegans.fna,17,intersection,67.12,66.56,389.16,481.67,31792,31528,59292,10316,88241225,87830025,17507460,2246932,2291690,2866138,81922521,81674345,7486057,81922521,81674345,7486057
C.briggsae.fna,C.elegans.fna,19,union,70.12,69.65,400.0,1052.47,31332,31068,58764,59028,92220590,91940010,182995062,958893,917979,2405696,88613752,88851754,175042363,88613752,88851754,175042363
C.briggsae.fna,C.elegans.fna,19,difference,69.87,69.92,399.77,1055.07,31332,31068,58764,59564,92220590,91940010,182437151,958893,917979,3251779,88613752,88851754,172619220,88613752,88851754,172619220
C.briggsae.fna,C.elegans.fna,19,intersection,69.96,70.0,399.54,466.46,31332,31068,58764,6364,92220590,91940010,7070480,958893,917979,915786,88613752,88851754,2423143,88613752,88851754,2423143
C.briggsae.fna,C.elegans.fna,21,union,71.28,70.81,403.92,1106.31,31332,30804,58236,58500,93853224,93206540,186673097,521514,416447,1125826,91137316,91222416,181472842,91137316,91222416,181472842
C.briggsae.fna,C.elegans.fna,21,difference,71.7,71.12,404.6,1106.34,31332,30804,58236,58764,93853224,93206540,186497012,521514,416447,1378432,91137316,91222416,180585952,91137316,91222416,180585952
C.briggsae.fna,C.elegans.fna,21,intersection,70.87,70.15,401.01,437.25,31332,30804,58236,4784,93853224,93206540,2858153,521514,416447,269157,91137316,91222416,886890,91137316,91222416,886890
C.briggsae.fna,C.elegans.fna,23,union,72.35,71.61,399.45,1090.8,31308,30776,58212,58472,94860980,93881612,188538909,365992,255023,700108,92481617,92227936,184265704,92481617,92227936,184265704
C.briggsae.fna,C.elegans.fna,23,difference,72.18,71.3,399.62,1084.46,31308,30776,58212,58472,94860980,93881612,188452016,365992,255023,794064,92481617,92227936,183821855,92481617,92227936,183821855
C.briggsae.fna,C.elegans.fna,23,intersection,72.35,71.44,400.6,392.13,31308,30776,58212,4492,94860980,93881612,1480738,365992,255023,99271,92481617,92227936,443849,92481617,92227936,443849
C.briggsae.fna,C.elegans.fna,31,union,73.49,72.03,409.31,979.44,31528,30812,58696,58696,97028722,95381360,192344117,176719,123199,312342,95189333,94006897,189072323,95189333,94006897,189072323
C.briggsae.fna,C.elegans.fna,31,difference,73.39,72.06,409.57,979.67,31528,30812,58696,58696,97028722,95381360,192322837,176719,123199,325134,95189333,94006897,188948416,95189333,94006897,188948416
C.briggsae.fna,C.elegans.fna,31,intersection,73.5,72.02,411.91,355.07,31528,30812,58696,4364,97028722,95381360,424627,176719,123199,13587,95189333,94006897,123907,95189333,94006897,123907
